title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
Every Man for Himself,Jean-Luc Godard,1980,France,tt0079854,1980,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Loulou,Maurice Pialat,1980,France,tt0081076,1980,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
My American Uncle,Alain Resnais,1980,France,tt0081176,1980,125,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Last Metro,François Truffaut,1980,France,tt0080610,1980,132,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Coup de torchon,Bertrand Tavernier,1981,France,tt0082206,1981,128,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Deprisa, deprisa",Carlos Saura,1981,Spain,tt0082259,1981,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Documenteur,Agnès Varda,1981,France,tt0082275,1981,65,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le Pont du Nord,Jacques Rivette,1981,France,tt0082927,1981,129,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mur Murs,Agnès Varda,1981,France,tt0081204,1981,80,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Patrimonio nacional,Luis García Berlanga,1981,Spain,tt0082888,1981,112,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Woman Next Door,François Truffaut,1981,France,tt0082370,1981,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Good Marriage,Eric Rohmer,1982,France,tt0082053,1982,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Burden of Dreams,Les Blank,1982,United States,tt0083702,1982,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Identification of a Woman,Michelangelo Antonioni,1982,Italy,tt0084116,1982,130,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La Balance,Bob Swaim,1982,France,tt0083611,1982,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La nuit de Varennes,Ettore Scola,1982,Italy,tt0084423,1982,150,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La truite,Joseph Losey,1982,France,tt0084829,1982,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Nacional III,Luis García Berlanga,1982,Spain,tt0084383,1982,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Querelle,Rainer Werner Fassbinder,1982,Germany,tt0084565,1982,108,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Sweet Hours,Carlos Saura,1982,France,tt0083859,1982,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Toute une nuit,Chantal Akerman,1982,France,tt0084808,1982,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Une chambre en ville,Jacques Demy,1982,France,tt0084843,1982,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Confidentially Yours,François Truffaut,1983,France,tt0086551,1983,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Danton,Andrzej Wajda,1983,France,tt0083789,1983,136,fuzzy_canonical,100.0,1.0,1.0,1.0,10
El Sur,Víctor Erice,1983,Spain,tt0084740,1983,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
L’argent,Robert Bresson,1983,France,tt0085180,1983,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Pauline at the Beach,Eric Rohmer,1983,France,tt0086087,1983,95,fuzzy_canonical,100.0,1.0,1.0,1.0,8
Sans Soleil,Chris Marker,1983,France,tt0084628,1983,100,fuzzy_canonical,100.0,1.0,1.0,1.0,7
À nos amours,Maurice Pialat,1983,France,tt0086650,1983,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Sunday in the Country,Bertrand Tavernier,1984,France,tt0088318,1984,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Full Moon in Paris,Eric Rohmer,1984,France,tt0087821,1984,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Love on the Ground,Jacques Rivette,1984,France,tt0086889,1984,125,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Next of Kin,Atom Egoyan,1984,Canada,tt0087789,1984,70,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Paris, Texas",Wim Wenders,1984,Germany,tt0087884,1984,145,fuzzy_canonical,100.0,1.0,1.0,1.0,10
